ts_utc,datetime_utc,currency,impact,event
1706886000,2024-02-02 15:00,USD,medium,UoM 5-year Consumer Inflation Expectation
1707084000,2024-02-04 22:00,AUD,medium,S&P Global Composite PMI
1707084000,2024-02-04 22:00,AUD,medium,S&P Global Services PMI
1707091200,2024-02-05 00:00,AUD,medium,TD-MI Inflation Gauge (YoY)
1707091200,2024-02-05 00:00,USD,high,Fed's Chair Powell speech
1707093000,2024-02-05 00:30,AUD,medium,Exports (MoM)
1707093000,2024-02-05 00:30,AUD,medium,Imports (MoM)
1707093000,2024-02-05 00:30,AUD,high,Trade Balance (MoM)
1707116400,2024-02-05 07:00,EUR,medium,Trade Balance s.a.
1707120900,2024-02-05 08:15,EUR,medium,HCOB Services PMI
1707123300,2024-02-05 08:55,EUR,medium,HCOB Composite PMI
1707123300,2024-02-05 08:55,EUR,medium,HCOB Services PMI
1707123600,2024-02-05 09:00,EUR,medium,HCOB Composite PMI
1707125400,2024-02-05 09:30,EUR,medium,Sentix Investor Confidence
1707127200,2024-02-05 10:00,EUR,medium,Producer Price Index (MoM)
1707127200,2024-02-05 10:00,EUR,medium,Producer Price Index (YoY)
1707144300,2024-02-05 14:45,USD,medium,S&P Global Composite PMI
1707145200,2024-02-05 15:00,USD,medium,Fed's Goolsbee speech
1707145200,2024-02-05 15:00,USD,medium,ISM Services Employment Index
1707145200,2024-02-05 15:00,USD,medium,ISM Services New Orders Index
1707145200,2024-02-05 15:00,USD,high,ISM Services PMI
1707145200,2024-02-05 15:00,USD,medium,ISM Services Prices Paid
1707154200,2024-02-05 17:30,GBP,medium,BoE's Pill speech
1707159600,2024-02-05 19:00,USD,medium,Fed's Bostic speech
